113	17	181	
57	51	73	
710	173	124	
647	211	173	
549	263	384	
59	26	647	
284	19	500	
1439	66	308	
642	151	374	
1719	190	151	
1185	24	190	
156	172	214	
1136	36	196	
1094	24	36	
542	39	0	
881	20	0	
709	245	0	
99	115	0	
384	22	115	
1574	41	22	
322	112	0	
1034	99	0	
217	93	99	
514	187	192	
625	204	280	
1714	40	391	
2421	48	0	
880	137	0	
571	76	0	
727	379	0	
1245	6	0	
55	52	6	
575	21	58	
56	26	79	
2053	10	0	
66	268	0	
125	56	0	
265	204	56	
820	15	204	
1258	89	15	
1316	36	0	
761	93	0	
518	28	0	
1592	9	0	
768	107	0	
251	26	0	
644	59	26	
770	46	0	
258	11	46	
3305	69	0	
402	110	0	
128	90	110	
1938	324	0	
675	69	324	
125	116	393	
437	142	185	
2085	98	142	
533	154	240	
83	201	394	
76	656	595	
586	39	1109	
689	162	1050	
992	112	1058	
405	115	1170	
1147	20	1084	
3052	44	135	
610	523	179	
76	94	702	
80	29	681	
115	113	710	
399	13	823	
519	19	816	
978	319	791	
291	115	587	
1258	32	608	
322	28	640	
1238	15	526	
830	44	190	
117	35	234	
706	93	154	
790	118	247	
631	29	246	
195	119	275	
603	278	266	
3697	48	0	
85	162	48	
69	4	210	
761	36	214	
78	39	250	
70	151	241	
73	91	230	
872	108	321	
852	113	350	
447	17	312	
957	55	329	
154	299	293	
176	77	592	
1045	43	561	
210	277	604	
2449	24	696	
189	86	720	
501	65	507	
1174	63	495	
1481	96	238	
76	13	334	
939	200	237	
419	33	372	
1002	58	405	
306	92	400	
158	84	492	
825	333	480	
1021	43	600	
410	159	643	
711	344	711	
552	24	1055	
1072	11	987	
1870	36	581	
1061	48	415	
431	330	463	
1450	74	378	
198	101	452	
1578	88	175	
159	23	263	
196	112	286	
588	30	324	
226	10	354	
325	376	263	
768	105	639	
371	44	656	
1543	164	565	
593	18	313	
864	59	331	
2282	97	77	
855	11	97	
3191	101	0	
3290	49	0	
424	185	0	
852	29	0	
558	164	0	
364	265	0	
1641	12	0	
1029	84	0	
1273	41	0	
1625	267	0	
415	123	0	
279	21	123	
401	1	144	
129	134	22	
125	46	156	
77	56	202	
271	18	258	
1634	52	120	
582	37	0	
418	73	37	
256	63	0	
446	153	63	
1054	127	153	
1109	76	127	
71	154	203	
758	153	230	
730	16	383	
169	34	323	
75	49	357	
1058	83	252	
1793	29	182	
727	170	112	
1585	86	199	
554	73	86	
529	18	159	
1873	16	18	
759	209	0	
146	64	209	
97	69	273	
2473	52	133	
616	98	52	
264	7	150	
1172	703	7	
765	82	0	
2415	30	0	
3210	118	0	
865	67	0	
748	594	0	
158	56	0	
854	38	56	
829	96	0	
358	24	0	
160	200	0	
1424	357	0	
893	114	0	
79	22	114	
178	55	136	
229	21	0	
185	115	21	
2090	3	0	
624	66	0	
168	10	0	
1021	50	0	
1774	67	0	
85	94	0	
271	85	0	
570	99	85	
763	73	0	
1362	56	0	
332	86	0	
834	3	0	
2468	30	0	
1155	243	0	
555	219	0	
1924	24	0	
1062	9	0	
99	12	0	
2201	20	0	
490	60	0	
933	181	0	
236	39	0	
1040	158	0	
80	192	0	
1365	381	0	
1051	9	0	
733	16	9	
136	108	0	
1919	209	0	
4516	123	0	
90	523	0	
83	123	523	
1083	66	123	
1070	22	66	
1455	35	22	
1043	10	0	
2763	178	0	
126	244	0	
85	65	244	
282	22	309	
337	41	331	
507	140	128	
200	151	268	
569	69	419	
70	49	488	
758	43	409	
693	43	312	
551	40	355	
1733	77	0	
2153	10	0	
1963	23	0	
325	49	0	
241	103	0	
836	98	0	
388	44	0	
1608	50	0	
115	57	0	
175	62	0	
271	29	0	
994	15	0	
490	6	0	
81	153	6	
75	63	153	
386	1	63	
3874	168	0	
87	30	168	
514	242	0	
694	11	0	
1132	4	0	
1750	36	0	
1021	245	0	
1033	22	0	
1576	62	0	
155	151	0	
205	78	0	
174	185	78	
174	92	263	
605	21	355	
149	74	298	
116	183	372	
339	298	555	
169	19	853	
1466	35	687	
227	329	630	
992	177	864	
345	40	1041	
1532	18	898	
267	11	618	
397	171	629	
514	451	800	
596	17	868	
223	16	885	
917	123	724	
108	27	847	
97	2	874	
859	13	636	
921	4	198	
668	122	202	
78	16	291	
418	45	184	
1040	22	61	
2140	31	0	
315	46	0	
221	2	0	
473	51	0	
87	169	0	
1700	49	0	
84	102	0	
490	31	0	
2012	51	0	
1578	68	0	
700	130	0	
366	107	0	
469	432	107	
456	263	432	
456	8	695	
2939	121	0	
384	123	0	
605	6	123	
1044	282	6	
3123	126	0	
1633	34	0	
79	75	0	
83	20	0	
1521	69	0	
2101	150	0	
83	1	0	
73	63	1	
72	63	64	
72	60	127	
847	266	187	
1053	18	389	
1461	158	284	
1255	202	176	
743	36	202	
2223	29	0	
2410	14	0	
93	139	0	
81	196	0	
2641	114	0	
2033	47	0	
2890	4	0	
669	7	0	
1052	291	0	
436	37	0	
180	76	37	
